celebrity_name,season,week,judge_score_total,judge_score_count,raw_zero_count,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,judge_score_avg
Ashley Hamiliton,9,6,0.0,3,3,Edyta Sliwinska,Actor/Actress,California,United States,34,Eliminated Week 1,16,0.0
Chuck Liddell,9,6,0.0,3,3,Anna Trebunskaya,Athlete,California,United States,39,Eliminated Week 4,11,0.0
Debi Mazar,9,6,0.0,3,3,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,Eliminated Week 3,12,0.0
Donny Osmond,9,6,30.999899999999997,3,0,Kym Johnson,Singer/Rapper,Utah,United States,51,1st Place,1,10.3333
Joanna Krupa,9,6,35.9999,3,0,Derek Hough,Model,,Poland,30,Eliminated Week 9,4,11.999966666666666
Kathy Ireland,9,6,0.0,3,3,Tony Dovolani,Model,California,United States,46,Eliminated Week 2,14,0.0
Kelly Osbourne,9,6,24.9998,3,0,Louis van Amstel,TV Personality,,England,24,3rd Place,3,8.333266666666667
Louie Vito,9,6,24.0,3,0,Chelsie Hightower,Athlete,Ohio,United States,21,Eliminated Week 6,8,8.0
Macy Gray,9,6,0.0,3,3,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,Eliminated Week 1,15,0.0
Mark Dacascos,9,6,32.0,3,0,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,Eliminated Week 7,6,10.666666666666666
Melissa Joan Hart,9,6,23.9999,3,0,Mark Ballas,Actor/Actress,New York,United States,33,Eliminated Week 6,9,7.9999666666666664
Michael Irvin,9,6,21.9998,3,0,Anna Demidova,Athlete,Florida,United States,43,Eliminated Week 7,7,7.333266666666667
Mya,9,6,33.0,3,0,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,2nd Place,2,11.0
Natalie Coughlin,9,6,0.0,3,3,Alec Mazo,Athlete,California,United States,27,Eliminated Week 5,10,0.0
Tom DeLay,9,6,0.0,3,3,Cheryl Burke,Politician,Texas,United States,62,Withdrew,13,0.0
Aaron Carter,9,7,26.5,3,0,Karina Smirnoff,Singer/Rapper,Florida,United States,21,Eliminated Week 8,5,8.833333333333334
Ashley Hamiliton,9,7,0.0,3,3,Edyta Sliwinska,Actor/Actress,California,United States,34,Eliminated Week 1,16,0.0
Chuck Liddell,9,7,0.0,3,3,Anna Trebunskaya,Athlete,California,United States,39,Eliminated Week 4,11,0.0
Debi Mazar,9,7,0.0,3,3,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,Eliminated Week 3,12,0.0
Donny Osmond,9,7,26.0,3,0,Kym Johnson,Singer/Rapper,Utah,United States,51,1st Place,1,8.666666666666666
Joanna Krupa,9,7,27.5,3,0,Derek Hough,Model,,Poland,30,Eliminated Week 9,4,9.166666666666666
Kathy Ireland,9,7,0.0,3,3,Tony Dovolani,Model,California,United States,46,Eliminated Week 2,14,0.0
Kelly Osbourne,9,7,26.0,3,0,Louis van Amstel,TV Personality,,England,24,3rd Place,3,8.666666666666666
Louie Vito,9,7,0.0,3,3,Chelsie Hightower,Athlete,Ohio,United States,21,Eliminated Week 6,8,0.0
Macy Gray,9,7,0.0,3,3,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,Eliminated Week 1,15,0.0
Mark Dacascos,9,7,21.5,3,0,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,Eliminated Week 7,6,7.166666666666667
Melissa Joan Hart,9,7,0.0,3,3,Mark Ballas,Actor/Actress,New York,United States,33,Eliminated Week 6,9,0.0
Michael Irvin,9,7,23.5,3,0,Anna Demidova,Athlete,Florida,United States,43,Eliminated Week 7,7,7.833333333333333
Mya,9,7,24.5,3,0,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,2nd Place,2,8.166666666666666
Natalie Coughlin,9,7,0.0,3,3,Alec Mazo,Athlete,California,United States,27,Eliminated Week 5,10,0.0
Tom DeLay,9,7,0.0,3,3,Cheryl Burke,Politician,Texas,United States,62,Withdrew,13,0.0
Aaron Carter,9,8,25.0,3,0,Karina Smirnoff,Singer/Rapper,Florida,United States,21,Eliminated Week 8,5,8.333333333333334
Ashley Hamiliton,9,8,0.0,3,3,Edyta Sliwinska,Actor/Actress,California,United States,34,Eliminated Week 1,16,0.0
Chuck Liddell,9,8,0.0,3,3,Anna Trebunskaya,Athlete,California,United States,39,Eliminated Week 4,11,0.0
Debi Mazar,9,8,0.0,3,3,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,Eliminated Week 3,12,0.0
Donny Osmond,9,8,25.0,3,0,Kym Johnson,Singer/Rapper,Utah,United States,51,1st Place,1,8.333333333333334
Joanna Krupa,9,8,26.0,3,0,Derek Hough,Model,,Poland,30,Eliminated Week 9,4,8.666666666666666
Kathy Ireland,9,8,0.0,3,3,Tony Dovolani,Model,California,United States,46,Eliminated Week 2,14,0.0
Kelly Osbourne,9,8,25.5,3,0,Louis van Amstel,TV Personality,,England,24,3rd Place,3,8.5
Louie Vito,9,8,0.0,3,3,Chelsie Hightower,Athlete,Ohio,United States,21,Eliminated Week 6,8,0.0
Macy Gray,9,8,0.0,3,3,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,Eliminated Week 1,15,0.0
Mark Dacascos,9,8,0.0,3,3,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,Eliminated Week 7,6,0.0
Melissa Joan Hart,9,8,0.0,3,3,Mark Ballas,Actor/Actress,New York,United States,33,Eliminated Week 6,9,0.0
Michael Irvin,9,8,0.0,3,3,Anna Demidova,Athlete,Florida,United States,43,Eliminated Week 7,7,0.0
Mya,9,8,29.5,3,0,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,2nd Place,2,9.833333333333334
Natalie Coughlin,9,8,0.0,3,3,Alec Mazo,Athlete,California,United States,27,Eliminated Week 5,10,0.0
Tom DeLay,9,8,0.0,3,3,Cheryl Burke,Politician,Texas,United States,62,Withdrew,13,0.0
Aaron Carter,9,9,0.0,3,3,Karina Smirnoff,Singer/Rapper,Florida,United States,21,Eliminated Week 8,5,0.0
Ashley Hamiliton,9,9,0.0,3,3,Edyta Sliwinska,Actor/Actress,California,United States,34,Eliminated Week 1,16,0.0
Chuck Liddell,9,9,0.0,3,3,Anna Trebunskaya,Athlete,California,United States,39,Eliminated Week 4,11,0.0
Debi Mazar,9,9,0.0,3,3,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,Eliminated Week 3,12,0.0
Donny Osmond,9,9,24.6666,3,0,Kym Johnson,Singer/Rapper,Utah,United States,51,1st Place,1,8.222199999999999
Joanna Krupa,9,9,27.0,3,0,Derek Hough,Model,,Poland,30,Eliminated Week 9,4,9.0
Kathy Ireland,9,9,0.0,3,3,Tony Dovolani,Model,California,United States,46,Eliminated Week 2,14,0.0
Kelly Osbourne,9,9,25.9998,3,0,Louis van Amstel,TV Personality,,England,24,3rd Place,3,8.6666
Louie Vito,9,9,0.0,3,3,Chelsie Hightower,Athlete,Ohio,United States,21,Eliminated Week 6,8,0.0
Macy Gray,9,9,0.0,3,3,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,Eliminated Week 1,15,0.0
Mark Dacascos,9,9,0.0,3,3,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,Eliminated Week 7,6,0.0
Melissa Joan Hart,9,9,0.0,3,3,Mark Ballas,Actor/Actress,New York,United States,33,Eliminated Week 6,9,0.0
Michael Irvin,9,9,0.0,3,3,Anna Demidova,Athlete,Florida,United States,43,Eliminated Week 7,7,0.0
Mya,9,9,28.9999,3,0,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,2nd Place,2,9.666633333333333
Natalie Coughlin,9,9,0.0,3,3,Alec Mazo,Athlete,California,United States,27,Eliminated Week 5,10,0.0
Tom DeLay,9,9,0.0,3,3,Cheryl Burke,Politician,Texas,United States,62,Withdrew,13,0.0
Aaron Carter,9,10,0.0,3,3,Karina Smirnoff,Singer/Rapper,Florida,United States,21,Eliminated Week 8,5,0.0
Ashley Hamiliton,9,10,0.0,3,3,Edyta Sliwinska,Actor/Actress,California,United States,34,Eliminated Week 1,16,0.0
Chuck Liddell,9,10,0.0,3,3,Anna Trebunskaya,Athlete,California,United States,39,Eliminated Week 4,11,0.0
Debi Mazar,9,10,0.0,3,3,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,Eliminated Week 3,12,0.0
Donny Osmond,9,10,28.9998,3,0,Kym Johnson,Singer/Rapper,Utah,United States,51,1st Place,1,9.6666
Joanna Krupa,9,10,0.0,3,3,Derek Hough,Model,,Poland,30,Eliminated Week 9,4,0.0
Kathy Ireland,9,10,0.0,3,3,Tony Dovolani,Model,California,United States,46,Eliminated Week 2,14,0.0
Kelly Osbourne,9,10,25.2222,3,0,Louis van Amstel,TV Personality,,England,24,3rd Place,3,8.4074
Louie Vito,9,10,0.0,3,3,Chelsie Hightower,Athlete,Ohio,United States,21,Eliminated Week 6,8,0.0
Macy Gray,9,10,0.0,3,3,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,Eliminated Week 1,15,0.0
Mark Dacascos,9,10,0.0,3,3,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,Eliminated Week 7,6,0.0
Melissa Joan Hart,9,10,0.0,3,3,Mark Ballas,Actor/Actress,New York,United States,33,Eliminated Week 6,9,0.0
Michael Irvin,9,10,0.0,3,3,Anna Demidova,Athlete,Florida,United States,43,Eliminated Week 7,7,0.0
Mya,9,10,28.333199999999998,3,0,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,2nd Place,2,9.4444
Natalie Coughlin,9,10,0.0,3,3,Alec Mazo,Athlete,California,United States,27,Eliminated Week 5,10,0.0
Tom DeLay,9,10,0.0,3,3,Cheryl Burke,Politician,Texas,United States,62,Withdrew,13,0.0
Aiden Turner,10,1,15.0,3,0,Edyta Sliwinska,Actor/Actress,,England,32,Eliminated Week 4,9,5.0
Buzz Aldrin,10,1,14.0,3,0,Ashly DelGrosso,Astronaut,New Jersey,United States,80,Eliminated Week 3,10,4.666666666666667
Chad Ochocinco,10,1,18.0,3,0,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,6.0
Erin Andrews,10,1,21.0,3,0,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,7.0
Evan Lysacek,10,1,23.0,3,0,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,7.666666666666667
Jake Pavelka,10,1,20.0,3,0,Chelsie Hightower,TV Personality,Texas,United States,32,Eliminated Week 6,7,6.666666666666667
Kate Gosselin,10,1,16.0,3,0,Tony Dovolani,TV Personality,Pennsylvania,United States,35,Eliminated Week 5,8,5.333333333333333
Nicole Scherzinger,10,1,25.0,3,0,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,8.333333333333334
Niecy Nash,10,1,18.0,3,0,Louis van Amstel,Actor/Actress,California,United States,40,Eliminated Week 8,5,6.0
Pamela Anderson,10,1,21.0,3,0,Damian Whitewood,Model,,Canada,42,Eliminated Week 7,6,7.0
Shannen Doherty,10,1,18.0,3,0,Mark Ballas,Actor/Actress,Tennessee,United States,38,Eliminated Week 2,11,6.0
Aiden Turner,10,2,19.0,3,0,Edyta Sliwinska,Actor/Actress,,England,32,Eliminated Week 4,9,6.333333333333333
Buzz Aldrin,10,2,12.0,3,0,Ashly DelGrosso,Astronaut,New Jersey,United States,80,Eliminated Week 3,10,4.0
Chad Ochocinco,10,2,16.0,3,0,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,5.333333333333333
Erin Andrews,10,2,23.0,3,0,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,7.666666666666667
Evan Lysacek,10,2,24.0,3,0,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,8.0
Jake Pavelka,10,2,20.0,3,0,Chelsie Hightower,TV Personality,Texas,United States,32,Eliminated Week 6,7,6.666666666666667
Kate Gosselin,10,2,15.0,3,0,Tony Dovolani,TV Personality,Pennsylvania,United States,35,Eliminated Week 5,8,5.0
Nicole Scherzinger,10,2,28.0,3,0,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,9.333333333333334
Niecy Nash,10,2,21.0,3,0,Louis van Amstel,Actor/Actress,California,United States,40,Eliminated Week 8,5,7.0
Pamela Anderson,10,2,22.0,3,0,Damian Whitewood,Model,,Canada,42,Eliminated Week 7,6,7.333333333333333
Shannen Doherty,10,2,20.0,3,0,Mark Ballas,Actor/Actress,Tennessee,United States,38,Eliminated Week 2,11,6.666666666666667
Aiden Turner,10,3,20.0,3,0,Edyta Sliwinska,Actor/Actress,,England,32,Eliminated Week 4,9,6.666666666666667
Buzz Aldrin,10,3,13.0,3,0,Ashly DelGrosso,Astronaut,New Jersey,United States,80,Eliminated Week 3,10,4.333333333333333
Chad Ochocinco,10,3,20.0,3,0,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,6.666666666666667
Erin Andrews,10,3,23.0,3,0,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,7.666666666666667
Evan Lysacek,10,3,26.0,3,0,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,8.666666666666666
Jake Pavelka,10,3,21.0,3,0,Chelsie Hightower,TV Personality,Texas,United States,32,Eliminated Week 6,7,7.0
Kate Gosselin,10,3,15.0,3,0,Tony Dovolani,TV Personality,Pennsylvania,United States,35,Eliminated Week 5,8,5.0
Nicole Scherzinger,10,3,23.0,3,0,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,7.666666666666667
Niecy Nash,10,3,21.0,3,0,Louis van Amstel,Actor/Actress,California,United States,40,Eliminated Week 8,5,7.0
Pamela Anderson,10,3,21.0,3,0,Damian Whitewood,Model,,Canada,42,Eliminated Week 7,6,7.0
Shannen Doherty,10,3,0.0,3,3,Mark Ballas,Actor/Actress,Tennessee,United States,38,Eliminated Week 2,11,0.0
Aiden Turner,10,4,16.5,3,0,Edyta Sliwinska,Actor/Actress,,England,32,Eliminated Week 4,9,5.5
Buzz Aldrin,10,4,0.0,3,3,Ashly DelGrosso,Astronaut,New Jersey,United States,80,Eliminated Week 3,10,0.0
Chad Ochocinco,10,4,22.0,3,0,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,7.333333333333333
Erin Andrews,10,4,19.5,3,0,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,6.5
Evan Lysacek,10,4,26.0,3,0,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,8.666666666666666
Jake Pavelka,10,4,19.0,3,0,Chelsie Hightower,TV Personality,Texas,United States,32,Eliminated Week 6,7,6.333333333333333
Kate Gosselin,10,4,16.0,3,0,Tony Dovolani,TV Personality,Pennsylvania,United States,35,Eliminated Week 5,8,5.333333333333333
Nicole Scherzinger,10,4,25.0,3,0,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,8.333333333333334
Niecy Nash,10,4,18.0,3,0,Louis van Amstel,Actor/Actress,California,United States,40,Eliminated Week 8,5,6.0
Pamela Anderson,10,4,23.5,3,0,Damian Whitewood,Model,,Canada,42,Eliminated Week 7,6,7.833333333333333
Shannen Doherty,10,4,0.0,3,3,Mark Ballas,Actor/Actress,Tennessee,United States,38,Eliminated Week 2,11,0.0
Aiden Turner,10,5,0.0,3,3,Edyta Sliwinska,Actor/Actress,,England,32,Eliminated Week 4,9,0.0
Buzz Aldrin,10,5,0.0,3,3,Ashly DelGrosso,Astronaut,New Jersey,United States,80,Eliminated Week 3,10,0.0
Chad Ochocinco,10,5,18.0,3,0,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,6.0
Erin Andrews,10,5,22.0,3,0,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,7.333333333333333
Evan Lysacek,10,5,27.0,3,0,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,9.0
Jake Pavelka,10,5,23.0,3,0,Chelsie Hightower,TV Personality,Texas,United States,32,Eliminated Week 6,7,7.666666666666667
Kate Gosselin,10,5,15.0,3,0,Tony Dovolani,TV Personality,Pennsylvania,United States,35,Eliminated Week 5,8,5.0
Nicole Scherzinger,10,5,29.0,3,0,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,9.666666666666666
Niecy Nash,10,5,18.0,3,0,Louis van Amstel,Actor/Actress,California,United States,40,Eliminated Week 8,5,6.0
Pamela Anderson,10,5,21.0,3,0,Damian Whitewood,Model,,Canada,42,Eliminated Week 7,6,7.0
Shannen Doherty,10,5,0.0,3,3,Mark Ballas,Actor/Actress,Tennessee,United States,38,Eliminated Week 2,11,0.0
Aiden Turner,10,6,0.0,3,3,Edyta Sliwinska,Actor/Actress,,England,32,Eliminated Week 4,9,0.0
Buzz Aldrin,10,6,0.0,3,3,Ashly DelGrosso,Astronaut,New Jersey,United States,80,Eliminated Week 3,10,0.0
Chad Ochocinco,10,6,30.999899999999997,3,0,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,10.3333
Erin Andrews,10,6,34.0,3,0,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,11.333333333333334
Evan Lysacek,10,6,27.0,3,0,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,9.0
Jake Pavelka,10,6,24.999899999999997,3,0,Chelsie Hightower,TV Personality,Texas,United States,32,Eliminated Week 6,7,8.3333
Kate Gosselin,10,6,0.0,3,3,Tony Dovolani,TV Personality,Pennsylvania,United States,35,Eliminated Week 5,8,0.0
Nicole Scherzinger,10,6,35.9999,3,0,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,11.999966666666666
Niecy Nash,10,6,25.9998,3,0,Louis van Amstel,Actor/Actress,California,United States,40,Eliminated Week 8,5,8.6666
Pamela Anderson,10,6,29.9998,3,0,Damian Whitewood,Model,,Canada,42,Eliminated Week 7,6,9.999933333333333
Shannen Doherty,10,6,0.0,3,3,Mark Ballas,Actor/Actress,Tennessee,United States,38,Eliminated Week 2,11,0.0
Aiden Turner,10,7,0.0,3,3,Edyta Sliwinska,Actor/Actress,,England,32,Eliminated Week 4,9,0.0
Buzz Aldrin,10,7,0.0,3,3,Ashly DelGrosso,Astronaut,New Jersey,United States,80,Eliminated Week 3,10,0.0
Chad Ochocinco,10,7,26.0,3,0,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,8.666666666666666
Erin Andrews,10,7,25.5,3,0,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,8.5
Evan Lysacek,10,7,27.0,3,0,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,9.0
Jake Pavelka,10,7,0.0,3,3,Chelsie Hightower,TV Personality,Texas,United States,32,Eliminated Week 6,7,0.0
Kate Gosselin,10,7,0.0,3,3,Tony Dovolani,TV Personality,Pennsylvania,United States,35,Eliminated Week 5,8,0.0
Nicole Scherzinger,10,7,27.0,3,0,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,9.0
Niecy Nash,10,7,24.5,3,0,Louis van Amstel,Actor/Actress,California,United States,40,Eliminated Week 8,5,8.166666666666666
Pamela Anderson,10,7,25.5,3,0,Damian Whitewood,Model,,Canada,42,Eliminated Week 7,6,8.5
Shannen Doherty,10,7,0.0,3,3,Mark Ballas,Actor/Actress,Tennessee,United States,38,Eliminated Week 2,11,0.0
Aiden Turner,10,8,0.0,3,3,Edyta Sliwinska,Actor/Actress,,England,32,Eliminated Week 4,9,0.0
Buzz Aldrin,10,8,0.0,3,3,Ashly DelGrosso,Astronaut,New Jersey,United States,80,Eliminated Week 3,10,0.0
Chad Ochocinco,10,8,22.5,3,0,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,7.5
Erin Andrews,10,8,26.5,3,0,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,8.833333333333334
Evan Lysacek,10,8,26.5,3,0,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,8.833333333333334
Jake Pavelka,10,8,0.0,3,3,Chelsie Hightower,TV Personality,Texas,United States,32,Eliminated Week 6,7,0.0
Kate Gosselin,10,8,0.0,3,3,Tony Dovolani,TV Personality,Pennsylvania,United States,35,Eliminated Week 5,8,0.0
Nicole Scherzinger,10,8,29.5,3,0,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,9.833333333333334
Niecy Nash,10,8,21.5,3,0,Louis van Amstel,Actor/Actress,California,United States,40,Eliminated Week 8,5,7.166666666666667
Pamela Anderson,10,8,0.0,3,3,Damian Whitewood,Model,,Canada,42,Eliminated Week 7,6,0.0
Shannen Doherty,10,8,0.0,3,3,Mark Ballas,Actor/Actress,Tennessee,United States,38,Eliminated Week 2,11,0.0
Aiden Turner,10,9,0.0,3,3,Edyta Sliwinska,Actor/Actress,,England,32,Eliminated Week 4,9,0.0
Buzz Aldrin,10,9,0.0,3,3,Ashly DelGrosso,Astronaut,New Jersey,United States,80,Eliminated Week 3,10,0.0
Chad Ochocinco,10,9,26.0,3,0,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,8.666666666666666
Erin Andrews,10,9,28.0,3,0,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,9.333333333333334
Evan Lysacek,10,9,29.5,3,0,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,9.833333333333334
Jake Pavelka,10,9,0.0,3,3,Chelsie Hightower,TV Personality,Texas,United States,32,Eliminated Week 6,7,0.0
Kate Gosselin,10,9,0.0,3,3,Tony Dovolani,TV Personality,Pennsylvania,United States,35,Eliminated Week 5,8,0.0
Nicole Scherzinger,10,9,29.5,3,0,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,9.833333333333334
Niecy Nash,10,9,0.0,3,3,Louis van Amstel,Actor/Actress,California,United States,40,Eliminated Week 8,5,0.0
Pamela Anderson,10,9,0.0,3,3,Damian Whitewood,Model,,Canada,42,Eliminated Week 7,6,0.0
Shannen Doherty,10,9,0.0,3,3,Mark Ballas,Actor/Actress,Tennessee,United States,38,Eliminated Week 2,11,0.0
Aiden Turner,10,10,0.0,3,3,Edyta Sliwinska,Actor/Actress,,England,32,Eliminated Week 4,9,0.0
Buzz Aldrin,10,10,0.0,3,3,Ashly DelGrosso,Astronaut,New Jersey,United States,80,Eliminated Week 3,10,0.0
Chad Ochocinco,10,10,0.0,3,3,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,0.0
Erin Andrews,10,10,26.9998,3,0,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,8.999933333333333
Evan Lysacek,10,10,26.8887,3,0,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,8.9629
Jake Pavelka,10,10,0.0,3,3,Chelsie Hightower,TV Personality,Texas,United States,32,Eliminated Week 6,7,0.0
Kate Gosselin,10,10,0.0,3,3,Tony Dovolani,TV Personality,Pennsylvania,United States,35,Eliminated Week 5,8,0.0
Nicole Scherzinger,10,10,28.7777,3,0,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,9.592566666666666
Niecy Nash,10,10,0.0,3,3,Louis van Amstel,Actor/Actress,California,United States,40,Eliminated Week 8,5,0.0
Pamela Anderson,10,10,0.0,3,3,Damian Whitewood,Model,,Canada,42,Eliminated Week 7,6,0.0
Shannen Doherty,10,10,0.0,3,3,Mark Ballas,Actor/Actress,Tennessee,United States,38,Eliminated Week 2,11,0.0
Audrina Patridge,11,1,19.0,3,0,Tony Dovolani,TV Personality,California,United States,25,Eliminated Week 6,7,6.333333333333333
Brandy,11,1,23.0,3,0,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,7.666666666666667
Bristol Palin,11,1,18.0,3,0,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,6.0
David Hasselhoff,11,1,15.0,3,0,Kym Johnson,Actor/Actress,Maryland,United States,58,Eliminated Week 1,12,5.0
Florence Henderson,11,1,18.0,3,0,Corky Ballas,Actor/Actress,Indiana,United States,76,Eliminated Week 5,8,6.0
Jennifer Grey,11,1,24.0,3,0,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,8.0
Kurt Warner,11,1,19.0,3,0,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,6.333333333333333
Kyle Massey,11,1,23.0,3,0,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,7.666666666666667
Margaret Cho,11,1,15.0,3,0,Louis van Amstel,Comedian,California,United States,41,Eliminated Week 3,10,5.0
Michael Bolton,11,1,16.0,3,0,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,Eliminated Week 2,11,5.333333333333333
Rick Fox,11,1,22.0,3,0,Cheryl Burke,Athlete,,Canada,41,Eliminated Week 7,6,7.333333333333333
The Situation,11,1,15.0,3,0,Karina Smirnoff,TV Personality,New York,United States,28,Eliminated Week 4,9,5.0
Audrina Patridge,11,2,23.0,3,0,Tony Dovolani,TV Personality,California,United States,25,Eliminated Week 6,7,7.666666666666667
Brandy,11,2,21.0,3,0,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,7.0
Bristol Palin,11,2,22.0,3,0,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,7.333333333333333
David Hasselhoff,11,2,0.0,3,3,Kym Johnson,Actor/Actress,Maryland,United States,58,Eliminated Week 1,12,0.0
Florence Henderson,11,2,19.0,3,0,Corky Ballas,Actor/Actress,Indiana,United States,76,Eliminated Week 5,8,6.333333333333333
Jennifer Grey,11,2,24.0,3,0,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,8.0
Kurt Warner,11,2,21.0,3,0,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,7.0
Kyle Massey,11,2,22.0,3,0,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,7.333333333333333
Margaret Cho,11,2,18.0,3,0,Louis van Amstel,Comedian,California,United States,41,Eliminated Week 3,10,6.0
Michael Bolton,11,2,12.0,3,0,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,Eliminated Week 2,11,4.0
Rick Fox,11,2,21.0,3,0,Cheryl Burke,Athlete,,Canada,41,Eliminated Week 7,6,7.0
The Situation,11,2,18.0,3,0,Karina Smirnoff,TV Personality,New York,United States,28,Eliminated Week 4,9,6.0
Audrina Patridge,11,3,26.0,3,0,Tony Dovolani,TV Personality,California,United States,25,Eliminated Week 6,7,8.666666666666666
Brandy,11,3,24.0,3,0,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,8.0
Bristol Palin,11,3,19.0,3,0,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,6.333333333333333
David Hasselhoff,11,3,0.0,3,3,Kym Johnson,Actor/Actress,Maryland,United States,58,Eliminated Week 1,12,0.0
Florence Henderson,11,3,20.0,3,0,Corky Ballas,Actor/Actress,Indiana,United States,76,Eliminated Week 5,8,6.666666666666667
Jennifer Grey,11,3,24.0,3,0,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,8.0
Kurt Warner,11,3,23.0,3,0,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,7.666666666666667
Kyle Massey,11,3,23.0,3,0,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,7.666666666666667
Margaret Cho,11,3,18.0,3,0,Louis van Amstel,Comedian,California,United States,41,Eliminated Week 3,10,6.0
